,precision,recall,f1-score,support
BENIGN,0.9996462109966852,0.9977584499527893,0.998701438406688,130267.0
Bot,0.9761904761904762,0.9318181818181818,0.9534883720930233,88.0
DDoS,0.998938775510204,0.9999182873018467,0.9994282914080366,12238.0
DoS Hulk,0.9892780557541101,0.9973576747537833,0.9933014354066986,4163.0
DoS Slowhttptest,0.9857685009487666,0.9933078393881453,0.9895238095238095,1046.0
DoS slowloris,0.9935064935064936,0.9944289693593314,0.9939675174013921,1077.0
FTP-Patator,1.0,0.9983093829247676,0.9991539763113367,1183.0
Infiltration,1.0,0.75,0.8571428571428571,4.0
PortScan,0.9110647181628393,0.992269213278763,0.9499346974314323,2199.0
Web Attack  Brute Force,0.7313432835820896,0.8333333333333334,0.7790143084260732,294.0
Web Attack  Sql Injection,1.0,0.75,0.8571428571428571,4.0
Web Attack  XSS,0.44565217391304346,0.3153846153846154,0.3693693693693693,130.0
accuracy,0.9968433392493434,0.9968433392493434,0.9968433392493434,0.9968433392493434
macro avg,0.9192823907137256,0.8794904956246299,0.8950140775052979,152693.0
weighted avg,0.9968937435201941,0.9968433392493434,0.9968251354135521,152693.0
