,precision,recall,f1-score,support
BENIGN,0.9999769228994069,0.9979196573191983,0.9989472309099153,130267.0
Bot,0.8775510204081632,0.9772727272727273,0.9247311827956989,88.0
DDoS,0.9996732560039209,1.0,0.9998366013071895,12238.0
DoS Hulk,0.9942679722951995,1.0,0.9971257485029941,4163.0
DoS Slowhttptest,0.9885823025689819,0.9933078393881453,0.9909394372913686,1046.0
DoS slowloris,0.9962790697674418,0.9944289693593314,0.9953531598513011,1077.0
FTP-Patator,0.9966301600673968,1.0,0.9983122362869198,1183.0
Infiltration,0.8,1.0,0.888888888888889,4.0
PortScan,0.9105219552609777,0.9995452478399273,0.952959028831563,2199.0
Web Attack  Brute Force,0.7602523659305994,0.8197278911564626,0.7888707037643208,294.0
Web Attack  Sql Injection,0.5714285714285714,1.0,0.7272727272727273,4.0
Web Attack  XSS,0.5135135135135135,0.43846153846153846,0.4730290456431535,130.0
accuracy,0.9972952263692507,0.9972952263692507,0.9972952263692507,0.9972952263692507
macro avg,0.867389759178681,0.9350553225664443,0.8946888326121701,152693.0
weighted avg,0.9974158262199655,0.9972952263692507,0.9973164112607843,152693.0
