,precision,recall,f1-score,support
BENIGN,0.9994155599474004,0.9979191301810587,0.9986667844916683,130234.0
Bot,0.8625,0.92,0.8903225806451613,75.0
DDoS,0.9992660849710512,0.999510603588907,0.9993883293234922,12260.0
DoS Hulk,0.9895337773549001,0.9980806142034548,0.9937888198757764,4168.0
DoS Slowhttptest,0.9857954545454546,0.9952198852772467,0.9904852521408183,1046.0
DoS slowloris,0.9964253798033958,0.9964253798033958,0.9964253798033958,1119.0
FTP-Patator,0.9991673605328892,1.0,0.9995835068721366,1200.0
Infiltration,0.5,0.16666666666666666,0.25,6.0
PortScan,0.9197745013009541,0.9823992589161649,0.9500559910414333,2159.0
Web Attack  Brute Force,0.7368421052631579,0.8600682593856656,0.7937007874015748,293.0
Web Attack  Sql Injection,0.6,0.75,0.6666666666666666,4.0
Web Attack  XSS,0.4342105263157895,0.2558139534883721,0.32195121951219513,129.0
accuracy,0.9968498883380378,0.9968498883380378,0.9968498883380378,0.9968498883380378
macro avg,0.8352442291695827,0.8268419792925776,0.8209196098145265,152693.0
weighted avg,0.9968118803159914,0.9968498883380378,0.9967826180317453,152693.0
