,precision,recall,f1-score,support
Benign,0.998614394001141,0.9872683319903304,0.9929089509299405,12410.0
Analysis,0.42857142857142855,0.5454545454545454,0.48,11.0
Backdoor,0.2857142857142857,0.15384615384615385,0.2,13.0
DoS,0.3157894736842105,0.2222222222222222,0.2608695652173913,135.0
Exploits,0.7202185792349727,0.7257709251101322,0.7229840921557872,908.0
Fuzzers,0.667192429022082,0.8126801152737753,0.7327847553053269,1041.0
Generic,0.6336633663366337,0.4740740740740741,0.5423728813559322,135.0
Reconnaissance,0.5861111111111111,0.5780821917808219,0.5820689655172414,365.0
Shellcode,0.26785714285714285,0.24193548387096775,0.2542372881355932,62.0
Worms,0.0,0.0,0.0,7.0
accuracy,0.9335852058063233,0.9335852058063233,0.9335852058063233,0.9335852058063233
macro avg,0.49037322105330083,0.47413340436230234,0.47682264986172135,15087.0
weighted avg,0.9351397110993297,0.9335852058063233,0.9336404972198887,15087.0
