,precision,recall,f1-score,support
Benign,0.9934450109249818,0.9892022562449637,0.9913190939556669,12410.0
Analysis,0.42105263157894735,0.7272727272727273,0.5333333333333333,11.0
Backdoor,0.23076923076923078,0.23076923076923078,0.23076923076923078,13.0
DoS,0.3333333333333333,0.0962962962962963,0.14942528735632185,135.0
Exploits,0.7040923399790137,0.7389867841409692,0.7211176786673831,908.0
Fuzzers,0.6671802773497689,0.8318924111431316,0.7404873877725524,1041.0
Generic,0.7721518987341772,0.45185185185185184,0.5700934579439252,135.0
Reconnaissance,0.6787003610108303,0.5150684931506849,0.5856697819314641,365.0
Shellcode,0.21951219512195122,0.14516129032258066,0.17475728155339806,62.0
Worms,0.09090909090909091,0.14285714285714285,0.1111111111111111,7.0
accuracy,0.9343143103333996,0.9343143103333996,0.9343143103333996,0.9343143103333996
macro avg,0.5111146369711326,0.4869358484049579,0.4808083644394386,15087.0
weighted avg,0.9333430725644886,0.9343143103333996,0.9318801667536495,15087.0
