,precision,recall,f1-score,support
Benign,0.9952191880722794,0.9896857373086221,0.9924447497070825,12410.0
Analysis,0.42857142857142855,0.5454545454545454,0.48,11.0
Backdoor,0.16666666666666666,0.07692307692307693,0.10526315789473684,13.0
DoS,0.41935483870967744,0.0962962962962963,0.1566265060240964,135.0
Exploits,0.7370737073707371,0.737885462555066,0.7374793615850302,908.0
Fuzzers,0.6638237384506042,0.8972142170989433,0.7630718954248366,1041.0
Generic,0.7209302325581395,0.45925925925925926,0.5610859728506787,135.0
Reconnaissance,0.7787234042553192,0.5013698630136987,0.61,365.0
Shellcode,0.3333333333333333,0.25806451612903225,0.2909090909090909,62.0
Worms,0.1,0.14285714285714285,0.11764705882352941,7.0
accuracy,0.9390866308742626,0.9390866308742626,0.9390866308742626,0.9390866308742626
macro avg,0.5343696537988184,0.4705010116895683,0.48145277932190816,15087.0
weighted avg,0.939709266800468,0.9390866308742626,0.9362549178809711,15087.0
