,precision,recall,f1-score,support
Benign,0.9994204084415805,0.9918792718413751,0.9956355608389234,29554.0
Analysis,0.1956521739130435,1.0,0.32727272727272727,9.0
Backdoor,0.027777777777777776,0.3,0.05084745762711865,10.0
DoS,0.4,0.03418803418803419,0.06299212598425197,117.0
Exploits,0.8164435946462715,0.5502577319587629,0.657428791377983,776.0
Fuzzers,0.5698166431593794,0.8469601677148847,0.6812816188870152,954.0
Generic,0.6067415730337079,0.46956521739130436,0.5294117647058824,115.0
Reconnaissance,0.7515151515151515,0.6093366093366094,0.6729986431478969,407.0
Shellcode,0.21621621621621623,0.3137254901960784,0.256,51.0
Worms,0.04225352112676056,0.42857142857142855,0.07692307692307693,7.0
accuracy,0.9651875,0.9651875,0.9651875,0.9651875
macro avg,0.4625837059829888,0.5544483951198478,0.43107917667648754,32000.0
weighted avg,0.9734324829589212,0.9651875,0.9670103763019933,32000.0
